Date,Activity,Activity type,Unit,Amount executed
2025-09-23,Ballast,Railway,m3,386.0497431519844
2025-12-19,Rolling/Tractor,Road,m2,4899.506447321618
2025-10-13,Subbase application,Road,m2,845.5841139891235
2025-10-15,Removing trees,Building,m2,681.0128638481522
2025-04-19,Foundation pouring,Building,m3,178.83705260181404
2025-02-06,Ballast,Railway,m3,2170.607471206622
2025-03-04,Subbase application,Road,m2,2675.0949416234203
2025-07-18,Ballast,Railway,m3,1464.5770683170722
2025-08-31,Iron mining,Railway,m3,4429.835897321581
2025-01-10,Rolling/Tractor,Road,m2,2272.320525005527
2025-03-19,Rolling/Tractor,Road,m2,4827.7781668873795
2025-03-05,Iron mining,Railway,m3,77.83461234741607
2025-07-02,Terrain leveling,Building,m3,1671.3209981949713
2025-06-11,Removing trees,Building,m2,2018.5886107499646
2025-02-26,Terrain leveling,Building,m3,4453.7976353669865
2025-04-09,Coat preparation,Road,L,1897.4687517729028
2025-10-10,Anchorage,Railway,m2,4486.422973190153
2025-01-10,Pavement,Road,m2,3035.0598481742186
2025-05-02,Laying steel rail,Railway,m,2242.039834485385
2025-03-08,Terrain leveling,Building,m3,1222.7691906201715
2025-03-15,Iron mining,Railway,m3,2476.390944790639
2025-01-14,Laying steel rail,Railway,m,4161.771619759112
2025-09-04,Terrain leveling,Building,m3,261.6660778059399
2025-02-16,Terrain leveling,Building,m3,637.3949991973387
2025-09-25,Removing trees,Building,m2,3834.885491996554
2025-07-22,Anchorage,Railway,m2,2561.7031274358387
2025-12-08,Walling,Building,m2,1177.0359863893493
2025-10-11,Subbase application,Road,m2,4556.359783951345
2025-01-06,Removing trees,Building,m2,1033.908556395936
2025-06-06,Laying steel rail,Railway,m,2190.439491344607
2025-02-16,Foundation pouring,Building,m3,2936.802901608047
2025-08-13,Cement making,Building,m3,440.14477777834406
2025-06-24,Ballast,Railway,m3,935.551646123487
2025-03-15,Coat preparation,Road,L,4615.198971280657
2025-12-20,Walling,Building,m2,3706.926213930119
2025-03-30,Laying steel rail,Railway,m,1475.22359481366
2025-11-21,Ballast,Railway,m3,2422.0577405568283
2025-06-07,Ballast,Railway,m3,2723.2299121024826
2025-11-22,Rolling/Tractor,Road,m2,2955.039809580663
2025-07-27,Terrain leveling,Building,m3,1556.4184016101347
2025-07-12,Walling,Building,m2,383.7683321130947
2025-02-22,Ballast,Railway,m3,2630.0960362369
2025-10-27,Removing trees,Building,m2,1200.0626038796208
2025-12-19,Walling,Building,m2,2161.389276107085
2025-11-15,Anchorage,Railway,m2,3620.3444858989174
2025-06-24,Ballast,Railway,m3,3087.622679319956
2025-08-21,Anchorage,Railway,m2,3016.133242692224
2025-03-30,Terrain leveling,Building,m3,1181.1898351519917
2025-01-25,Removing trees,Building,m2,895.220829105598
2025-03-01,Anchorage,Railway,m2,4899.286496053288
2025-07-27,Coat preparation,Road,L,423.89241399177433
2025-09-27,Pavement,Road,m2,963.2081004757209
2025-05-23,Laying steel rail,Railway,m,4036.5736273993957
2025-11-25,Walling,Building,m2,277.5884843645948
2025-12-24,Rolling/Tractor,Road,m2,1814.836603598804
2025-11-22,Foundation pouring,Building,m3,1733.9409405744361
2025-05-26,Coat preparation,Road,L,4600.152232140918
2025-07-28,Terrain leveling,Building,m3,3723.457643653253
2025-03-27,Pavement,Road,m2,35.909043861181985
2025-01-11,Walling,Building,m2,2198.935192846321
2025-11-09,Anchorage,Railway,m2,1200.1459072568682
2025-09-21,Anchorage,Railway,m2,1871.9911658532467
2025-01-04,Subbase application,Road,m2,2211.6901543984336
2025-07-13,Ballast,Railway,m3,1465.8618075288937
2025-09-13,Terrain leveling,Building,m3,3173.825011674829
2025-11-14,Ballast,Railway,m3,4831.844074046531
2025-08-16,Subbase application,Road,m2,3300.4939565045347
2025-03-09,Rolling/Tractor,Road,m2,504.07091347137833
2025-08-02,Iron mining,Railway,m3,2774.0201334625203
2025-12-04,Coat preparation,Road,L,847.3388330789783
2025-01-29,Pavement,Road,m2,268.3751648861532
2025-11-05,Rolling/Tractor,Road,m2,2140.108714800241
2025-02-22,Rolling/Tractor,Road,m2,2580.568802921167
2025-03-07,Foundation pouring,Building,m3,4632.875448207622
2025-05-20,Removing trees,Building,m2,4121.49259722515
2025-09-02,Subbase application,Road,m2,1093.5602459899885
2025-04-03,Coat preparation,Road,L,2287.6832451457844
2025-05-19,Removing trees,Building,m2,2468.476298568446
2025-11-04,Terrain leveling,Building,m3,2862.474063331838
2025-07-18,Iron mining,Railway,m3,4781.2161348054415
2025-10-29,Terrain leveling,Building,m3,4458.759441327791
2025-09-21,Pavement,Road,m2,4103.312770394526
2025-03-19,Terrain leveling,Building,m3,4730.370057156527
2025-08-16,Subbase application,Road,m2,1559.9404640539444
2025-06-17,Cement making,Building,m3,2243.4728260276634
2025-10-13,Pavement,Road,m2,2690.8135124427736
2025-07-09,Walling,Building,m2,2846.481415167334
2025-07-27,Terrain leveling,Building,m3,739.7548891911987
2025-03-06,Cement making,Building,m3,3424.070404818466
2025-12-12,Subbase application,Road,m2,4374.467024077296
2025-06-27,Laying steel rail,Railway,m,4619.788596722759
2025-05-30,Pavement,Road,m2,3078.5328076167966
2025-02-19,Removing trees,Building,m2,4498.59498681357
2025-05-14,Laying steel rail,Railway,m,3757.6835177885646
2025-09-10,Removing trees,Building,m2,1965.9089344681586
2025-12-07,Iron mining,Railway,m3,1568.330743078385
2025-08-02,Laying steel rail,Railway,m,818.3431319715634
2025-01-04,Rolling/Tractor,Road,m2,324.09470082461365
2025-09-15,Subbase application,Road,m2,1562.4508020078376
2025-12-25,Rolling/Tractor,Road,m2,140.77123640105938
2025-10-09,Cement making,Building,m3,4075.1820461001453
2025-03-16,Coat preparation,Road,L,3926.423092343088
2025-04-21,Ballast,Railway,m3,3001.3289438343645
2025-03-01,Coat preparation,Road,L,2455.01647752872
2025-08-03,Walling,Building,m2,1681.4183080903622
2025-09-16,Cement making,Building,m3,4732.562539948915
2025-06-13,Pavement,Road,m2,1805.0538047800396
2025-03-15,Walling,Building,m2,4186.762687789694
2025-11-01,Terrain leveling,Building,m3,3800.733638433046
2025-05-10,Iron mining,Railway,m3,4506.770527022837
2025-08-04,Laying steel rail,Railway,m,3849.198705244871
2025-07-10,Removing trees,Building,m2,210.3128826214673
2025-10-29,Foundation pouring,Building,m3,2973.2723159087395
2025-03-11,Subbase application,Road,m2,1811.8765720518238
2025-10-25,Terrain leveling,Building,m3,2777.196141242176
2025-05-22,Walling,Building,m2,2758.170751817055
2025-09-20,Iron mining,Railway,m3,3431.284524250195
2025-03-20,Subbase application,Road,m2,3645.1744144046756
2025-02-07,Foundation pouring,Building,m3,2506.3111923298416
2025-08-13,Foundation pouring,Building,m3,3053.7304813698347
2025-07-08,Pavement,Road,m2,2323.802544761859
2025-11-13,Terrain leveling,Building,m3,166.16849207555794
2025-07-29,Laying steel rail,Railway,m,2905.0818979429155
2025-10-29,Pavement,Road,m2,2042.5194629325144
2025-03-03,Cement making,Building,m3,3159.643289141028
2025-10-07,Subbase application,Road,m2,2538.606072296507
2025-01-13,Pavement,Road,m2,3172.7145403709005
2025-12-17,Cement making,Building,m3,696.0867935654658
2025-04-06,Cement making,Building,m3,2837.6055687011435
2025-06-26,Pavement,Road,m2,1492.2332256562959
2025-05-16,Removing trees,Building,m2,4369.866662899296
2025-12-23,Iron mining,Railway,m3,1930.0077428545376
2025-01-20,Anchorage,Railway,m2,2661.046063972976
2025-08-28,Cement making,Building,m3,1011.4706303466759
2025-07-17,Rolling/Tractor,Road,m2,4937.944440622173
2025-08-17,Laying steel rail,Railway,m,4463.613073196204
2025-05-20,Pavement,Road,m2,731.0920736476539
2025-03-24,Iron mining,Railway,m3,2578.7120927425576
2025-10-30,Laying steel rail,Railway,m,900.4881049734071
2025-07-20,Anchorage,Railway,m2,3953.930858912304
2025-10-31,Terrain leveling,Building,m3,3078.5677769351128
2025-03-21,Anchorage,Railway,m2,639.2099636225901
2025-11-01,Coat preparation,Road,L,765.4136896657803
2025-01-31,Subbase application,Road,m2,3459.962981592624
2025-02-21,Removing trees,Building,m2,3829.280718670902
2025-04-14,Rolling/Tractor,Road,m2,4412.513606882339
2025-05-26,Terrain leveling,Building,m3,3940.824619219148
2025-10-07,Iron mining,Railway,m3,3735.8011830790742
2025-03-12,Foundation pouring,Building,m3,600.6360748785638
2025-12-02,Laying steel rail,Railway,m,4852.191346267775
2025-01-26,Coat preparation,Road,L,739.8017820373798
2025-10-19,Cement making,Building,m3,4012.2191043523558
2025-06-18,Foundation pouring,Building,m3,199.6173819375424
2025-05-08,Laying steel rail,Railway,m,3451.0681395343213
2025-02-24,Ballast,Railway,m3,1781.0271336691492
2025-06-30,Laying steel rail,Railway,m,806.262492678942
2025-08-05,Subbase application,Road,m2,1532.990760279752
2025-11-17,Anchorage,Railway,m2,1703.4748229033326
2025-06-10,Iron mining,Railway,m3,4792.289241123116
2025-04-25,Removing trees,Building,m2,896.9883958403075
2025-02-07,Laying steel rail,Railway,m,2450.161566635026
2025-11-10,Terrain leveling,Building,m3,1369.007407472685
2025-01-11,Cement making,Building,m3,2492.8667329667787
2025-12-16,Coat preparation,Road,L,4922.891401822769
2025-10-20,Foundation pouring,Building,m3,17.432726366066742
2025-05-06,Pavement,Road,m2,1234.0551452868765
2025-01-05,Terrain leveling,Building,m3,1368.4792412874453
2025-09-14,Cement making,Building,m3,92.68309261314445
2025-05-01,Terrain leveling,Building,m3,4469.483399929521
2025-01-11,Foundation pouring,Building,m3,837.8655714344086
2025-03-23,Walling,Building,m2,2758.9415924385085
2025-04-27,Walling,Building,m2,4255.979680267198
2025-08-15,Cement making,Building,m3,799.7066150874493
2025-04-29,Laying steel rail,Railway,m,619.1687014446101
2025-02-04,Anchorage,Railway,m2,4753.851626015128
2025-10-09,Foundation pouring,Building,m3,4054.078216819043
2025-07-29,Terrain leveling,Building,m3,3635.617358852837
2025-12-06,Pavement,Road,m2,1147.3928668256767
2025-08-09,Cement making,Building,m3,935.5885229676669
2025-04-19,Rolling/Tractor,Road,m2,2063.3916820519094
2025-05-01,Iron mining,Railway,m3,698.8597276102754
2025-10-27,Removing trees,Building,m2,1529.262812158641
2025-04-14,Foundation pouring,Building,m3,21.592135797179335
2025-05-06,Cement making,Building,m3,1755.2415031159203
2025-08-16,Coat preparation,Road,L,2771.4137347389637
2025-04-10,Foundation pouring,Building,m3,3727.0768782556333
2025-05-29,Terrain leveling,Building,m3,3939.3410928958224
2025-08-09,Anchorage,Railway,m2,4725.589709286414
2025-08-15,Foundation pouring,Building,m3,3680.422864880222
2025-04-07,Pavement,Road,m2,389.2186043361623
2025-06-13,Pavement,Road,m2,817.6408702098847
2025-06-19,Anchorage,Railway,m2,1996.9283230223662
2025-04-16,Iron mining,Railway,m3,2373.6329642765736
2025-06-29,Cement making,Building,m3,3876.46621576313
2025-09-02,Rolling/Tractor,Road,m2,3796.77929203672
2025-11-28,Anchorage,Railway,m2,261.92179421189957
2025-01-13,Subbase application,Road,m2,685.754324078911
2025-02-09,Removing trees,Building,m2,3469.421818657447
2025-04-08,Laying steel rail,Railway,m,1447.8035057218242
2025-06-20,Pavement,Road,m2,4724.535838369664
2025-08-31,Iron mining,Railway,m3,4893.127005294852
2025-05-26,Foundation pouring,Building,m3,1262.8874204208462
2025-01-31,Rolling/Tractor,Road,m2,947.6137843631816
2025-07-13,Foundation pouring,Building,m3,2699.2655817261734
2025-02-17,Cement making,Building,m3,1619.8935853377877
2025-10-06,Terrain leveling,Building,m3,4992.276225549274
2025-02-06,Cement making,Building,m3,981.7700759889741
2025-02-11,Terrain leveling,Building,m3,1352.70988909169
2025-05-20,Subbase application,Road,m2,4093.449793358074
2025-07-02,Subbase application,Road,m2,2995.1522786211294
2025-03-04,Terrain leveling,Building,m3,2640.8487086235127
2025-03-01,Removing trees,Building,m2,3914.1217896688368
2025-12-18,Rolling/Tractor,Road,m2,3150.2661753043344
2025-04-14,Iron mining,Railway,m3,2687.752032476865
2025-05-04,Ballast,Railway,m3,3338.8830852863953
2025-04-21,Rolling/Tractor,Road,m2,1342.6980647101161
2025-06-11,Anchorage,Railway,m2,3765.2431552075527
2025-09-01,Pavement,Road,m2,4331.84663349826
2025-02-08,Coat preparation,Road,L,1013.8677498284737
2025-04-09,Subbase application,Road,m2,819.2511898250704
2025-07-27,Coat preparation,Road,L,2218.5843420260294
2025-05-25,Walling,Building,m2,1481.5640683596553
2025-06-26,Subbase application,Road,m2,3570.500916676567
2025-02-15,Terrain leveling,Building,m3,3528.544290143958
2025-08-11,Terrain leveling,Building,m3,1323.7386877573476
2025-11-11,Subbase application,Road,m2,3332.795972893433
2025-06-19,Walling,Building,m2,1694.2846468976281
2025-12-29,Rolling/Tractor,Road,m2,2015.948326174824
2025-06-17,Coat preparation,Road,L,1418.2880452323043
2025-12-13,Laying steel rail,Railway,m,2249.573059426575
2025-07-27,Terrain leveling,Building,m3,1803.7983428157706
2025-02-16,Anchorage,Railway,m2,1938.2158792563919
2025-05-30,Subbase application,Road,m2,3066.7223139585008
2025-01-03,Removing trees,Building,m2,2012.3007077093923
2025-10-07,Iron mining,Railway,m3,14.405280844809742
2025-09-02,Cement making,Building,m3,4283.047366209027
2025-07-03,Foundation pouring,Building,m3,3639.868102512174
2025-10-19,Ballast,Railway,m3,3822.0033294529194
2025-09-25,Foundation pouring,Building,m3,2561.8494676992464
2025-03-05,Terrain leveling,Building,m3,2105.7599141368983
2025-02-28,Subbase application,Road,m2,4120.303626113023
2025-04-02,Foundation pouring,Building,m3,2802.7354142326562
2025-08-18,Subbase application,Road,m2,3178.1420990096044
2025-04-24,Laying steel rail,Railway,m,523.7510294125136
2025-07-18,Ballast,Railway,m3,4636.417448331008
2025-08-10,Terrain leveling,Building,m3,2671.072213098356
2025-01-24,Cement making,Building,m3,3424.8357640632826
2025-03-26,Rolling/Tractor,Road,m2,120.58031331359409
2025-09-03,Rolling/Tractor,Road,m2,2349.833859478845
2025-04-04,Laying steel rail,Railway,m,387.10566207541376
2025-10-21,Coat preparation,Road,L,2970.2267158629757
2025-09-04,Subbase application,Road,m2,2041.3795906101195
2025-08-20,Terrain leveling,Building,m3,3411.7525326486416
2025-03-30,Anchorage,Railway,m2,965.6226153901043
2025-12-01,Subbase application,Road,m2,3247.2236034223934
2025-12-05,Anchorage,Railway,m2,2909.9301744667305
2025-07-12,Subbase application,Road,m2,1763.317028185662
2025-03-13,Rolling/Tractor,Road,m2,209.156068015669
2025-07-17,Removing trees,Building,m2,4847.56342029779
2025-10-19,Subbase application,Road,m2,4265.130939528544
2025-11-10,Iron mining,Railway,m3,1583.4495122306846
2025-09-05,Terrain leveling,Building,m3,4926.354564864357
2025-06-26,Iron mining,Railway,m3,1395.7544277474803
2025-10-15,Terrain leveling,Building,m3,4500.714070346581
2025-12-27,Subbase application,Road,m2,2184.65728399193
2025-07-22,Anchorage,Railway,m2,1219.6230111232148
2025-12-06,Removing trees,Building,m2,502.56685948205705
2025-12-29,Terrain leveling,Building,m3,1296.946868878181
2025-01-03,Foundation pouring,Building,m3,4123.138714278444
2025-07-22,Anchorage,Railway,m2,1665.2482737441865
2025-03-11,Pavement,Road,m2,723.0919225102328
2025-05-29,Coat preparation,Road,L,4256.692014993167
2025-01-20,Ballast,Railway,m3,3224.086024074556
2025-01-23,Walling,Building,m2,1667.2265807725794
2025-03-31,Terrain leveling,Building,m3,2238.329944694024
2025-10-30,Rolling/Tractor,Road,m2,900.5798133100801
2025-07-26,Iron mining,Railway,m3,126.40116865255291
2025-10-21,Pavement,Road,m2,3942.7730252979804
2025-03-24,Cement making,Building,m3,3241.9698243873986
2025-01-22,Pavement,Road,m2,4337.181231824256
2025-02-21,Subbase application,Road,m2,1823.1140808086182
2025-03-21,Pavement,Road,m2,2992.9950811718227
2025-05-29,Anchorage,Railway,m2,3745.4618592027523
2025-07-14,Ballast,Railway,m3,2803.951598020655
2025-12-05,Ballast,Railway,m3,3514.6108000744184
2025-01-27,Subbase application,Road,m2,3526.4756311024316
2025-05-12,Laying steel rail,Railway,m,3714.683643015993
2025-06-05,Coat preparation,Road,L,4873.34703090717
2025-06-23,Iron mining,Railway,m3,3901.3500237841636
2025-04-12,Cement making,Building,m3,3136.515136639295
2025-02-06,Laying steel rail,Railway,m,3120.4447095578143
2025-10-22,Coat preparation,Road,L,4435.900915303791
2025-08-27,Laying steel rail,Railway,m,4821.066486362533
2025-10-04,Foundation pouring,Building,m3,84.54125098512122
2025-09-26,Cement making,Building,m3,2622.770116357601
2025-06-28,Foundation pouring,Building,m3,1608.178517198876
2025-02-14,Anchorage,Railway,m2,1882.5312108690223
2025-09-18,Cement making,Building,m3,1812.7027701669108
2025-02-25,Subbase application,Road,m2,215.34762001757358
2025-01-29,Iron mining,Railway,m3,4468.4106780410375
2025-02-28,Cement making,Building,m3,1463.7570152942048
2025-12-15,Anchorage,Railway,m2,3797.92206925716
2025-05-17,Cement making,Building,m3,1231.719578960882
2025-09-26,Cement making,Building,m3,1996.2421879563453
2025-03-06,Anchorage,Railway,m2,1127.1094008756515
2025-06-02,Coat preparation,Road,L,1567.687568179466
2025-03-21,Ballast,Railway,m3,1658.7464016977217
2025-07-19,Removing trees,Building,m2,785.4106645779391
2025-04-27,Subbase application,Road,m2,157.1034069200705
2025-08-04,Cement making,Building,m3,1124.626210228981
2025-07-12,Pavement,Road,m2,2715.5622687127084
2025-03-25,Rolling/Tractor,Road,m2,2009.3067941687902
2025-09-20,Terrain leveling,Building,m3,4548.735441225473
2025-03-27,Cement making,Building,m3,4672.4043727059825
2025-11-18,Cement making,Building,m3,3137.6894215618063
2025-09-21,Laying steel rail,Railway,m,749.2484293694334
2025-09-29,Rolling/Tractor,Road,m2,1365.0220437038895
2025-07-08,Laying steel rail,Railway,m,4399.760710239128
2025-03-12,Laying steel rail,Railway,m,4556.174980712856
2025-03-31,Subbase application,Road,m2,2143.933604547916
2025-06-04,Iron mining,Railway,m3,941.9861470203206
2025-08-02,Walling,Building,m2,2162.486737288074
2025-09-13,Foundation pouring,Building,m3,4780.55485985608
2025-02-26,Ballast,Railway,m3,2885.9221429559325
2025-09-25,Iron mining,Railway,m3,1947.6518459691733
2025-06-16,Walling,Building,m2,2204.9232761220096
2025-04-26,Coat preparation,Road,L,3682.150397714276
2025-06-14,Ballast,Railway,m3,2377.125558686522
2025-11-27,Terrain leveling,Building,m3,3798.6788162370494
2025-04-07,Terrain leveling,Building,m3,2583.054836954881
2025-10-22,Cement making,Building,m3,1730.6430731013456
2025-08-04,Iron mining,Railway,m3,360.1700865394441
2025-02-28,Rolling/Tractor,Road,m2,3404.0905368999847
2025-12-04,Removing trees,Building,m2,3690.5354925044835
2025-08-03,Cement making,Building,m3,2062.072935313558
2025-11-15,Subbase application,Road,m2,2066.129857703528
2025-04-22,Pavement,Road,m2,3640.1145975568543
2025-08-14,Walling,Building,m2,4246.992776394727
2025-02-18,Subbase application,Road,m2,3250.347351346088
2025-11-21,Rolling/Tractor,Road,m2,2861.5091608697626
2025-10-31,Foundation pouring,Building,m3,4363.482303254883
2025-08-18,Rolling/Tractor,Road,m2,1284.7117980752976
2025-11-02,Rolling/Tractor,Road,m2,1717.0453312316658
2025-02-14,Laying steel rail,Railway,m,2038.486547663177
2025-08-07,Terrain leveling,Building,m3,3142.596341809868
2025-10-12,Walling,Building,m2,1065.307651376905
2025-04-26,Iron mining,Railway,m3,4945.746749540652
2025-03-30,Laying steel rail,Railway,m,4772.317022951367
2025-02-03,Removing trees,Building,m2,2226.8018587884508
2025-11-26,Ballast,Railway,m3,2472.2577500340176
2025-05-14,Cement making,Building,m3,4367.309407087632
2025-07-29,Foundation pouring,Building,m3,2368.4177558451984
2025-09-07,Coat preparation,Road,L,583.5643514678734
2025-08-11,Walling,Building,m2,3258.165344806664
2025-11-15,Subbase application,Road,m2,4951.466032623207
2025-08-04,Subbase application,Road,m2,3739.051961167495
2025-07-26,Cement making,Building,m3,111.6771792864646
2025-03-21,Ballast,Railway,m3,2577.3919341163896
2025-10-30,Cement making,Building,m3,2177.8048222233488
2025-08-08,Subbase application,Road,m2,585.6506939472328
2025-03-28,Cement making,Building,m3,3385.6933122328032
2025-07-01,Terrain leveling,Building,m3,505.1965673067943
2025-03-29,Ballast,Railway,m3,1165.6443652675896
2025-05-25,Foundation pouring,Building,m3,17.702775399144887
2025-07-07,Terrain leveling,Building,m3,1502.5964004968982
2025-10-29,Terrain leveling,Building,m3,1733.7838845627562
2025-06-15,Pavement,Road,m2,2317.50943424666
2025-12-01,Anchorage,Railway,m2,1312.7689020317846
2025-10-20,Laying steel rail,Railway,m,4786.294305441596
2025-04-02,Rolling/Tractor,Road,m2,1343.6660002934009
2025-08-26,Pavement,Road,m2,2874.8579721482747
2025-01-06,Cement making,Building,m3,3214.564374610307
2025-02-06,Removing trees,Building,m2,1258.84148313894
2025-01-20,Subbase application,Road,m2,475.50360077227793
2025-08-28,Laying steel rail,Railway,m,4297.405495632832
2025-08-30,Ballast,Railway,m3,4577.184661034489
2025-10-03,Removing trees,Building,m2,2909.365595117027
2025-08-26,Subbase application,Road,m2,3873.099578808297
2025-02-19,Subbase application,Road,m2,1358.8405230880496
2025-05-16,Subbase application,Road,m2,4293.430874189432
2025-06-15,Foundation pouring,Building,m3,2882.4925343973814
2025-10-18,Anchorage,Railway,m2,4632.474466216042
2025-06-13,Iron mining,Railway,m3,301.9146677522411
2025-11-14,Subbase application,Road,m2,1293.8271594046741
2025-12-18,Laying steel rail,Railway,m,2767.6371687192614
2025-06-19,Coat preparation,Road,L,4074.962734822699
2025-11-30,Cement making,Building,m3,314.8441965165449
2025-10-01,Rolling/Tractor,Road,m2,1970.3017192539162
2025-07-12,Rolling/Tractor,Road,m2,3198.8465449245623
2025-04-16,Pavement,Road,m2,1464.0254171221168
2025-02-10,Terrain leveling,Building,m3,4978.646118917278
2025-05-08,Terrain leveling,Building,m3,664.6395279595024
2025-05-17,Rolling/Tractor,Road,m2,2971.9499314600193
2025-11-24,Cement making,Building,m3,4305.9837069520845
2025-02-08,Subbase application,Road,m2,3191.485957916171
2025-10-20,Walling,Building,m2,3866.6933985185988
2025-12-16,Foundation pouring,Building,m3,1851.5950640565654
2025-02-20,Rolling/Tractor,Road,m2,214.13398024113351
2025-01-20,Ballast,Railway,m3,2401.301917162088
2025-03-02,Subbase application,Road,m2,490.9783226943132
2025-10-23,Anchorage,Railway,m2,175.31650763797646
2025-11-25,Iron mining,Railway,m3,773.7155196078515
2025-06-24,Walling,Building,m2,771.9220439365105
2025-02-19,Rolling/Tractor,Road,m2,4042.650524048579
2025-07-11,Removing trees,Building,m2,4265.103491931672
2025-03-12,Iron mining,Railway,m3,1521.9557664351219
2025-11-09,Walling,Building,m2,4170.581637415272
2025-03-30,Anchorage,Railway,m2,2645.0106185401078
2025-09-21,Coat preparation,Road,L,529.0057782030699
2025-09-28,Rolling/Tractor,Road,m2,52.93099829596193
2025-08-23,Anchorage,Railway,m2,3596.1952261066112
2025-02-05,Iron mining,Railway,m3,4780.551113924447
2025-11-04,Terrain leveling,Building,m3,2976.1357289068014
2025-10-29,Cement making,Building,m3,1371.2327472033426
2025-11-26,Laying steel rail,Railway,m,3867.933113241074
2025-10-19,Pavement,Road,m2,2196.200095889508
2025-09-09,Foundation pouring,Building,m3,3677.9941219477173
2025-09-19,Pavement,Road,m2,951.4430457308071
2025-12-19,Terrain leveling,Building,m3,62.59773306754646
2025-08-12,Iron mining,Railway,m3,1740.7985492886442
2025-06-28,Ballast,Railway,m3,3487.3693569044526
2025-08-07,Removing trees,Building,m2,1512.175044071078
2025-01-25,Removing trees,Building,m2,4326.988905876305
2025-08-05,Anchorage,Railway,m2,4938.978437722142
2025-11-08,Foundation pouring,Building,m3,1073.1291030642192
2025-01-17,Pavement,Road,m2,4283.946221855098
2025-01-15,Terrain leveling,Building,m3,2297.8945170133698
2025-02-23,Cement making,Building,m3,2860.4946330190796
2025-08-07,Laying steel rail,Railway,m,2045.0433421994219
2025-05-28,Subbase application,Road,m2,4539.4092657602705
2025-05-14,Foundation pouring,Building,m3,437.53665008431864
2025-03-14,Removing trees,Building,m2,4317.693679921107
2025-08-30,Cement making,Building,m3,1627.348386201824
2025-03-01,Removing trees,Building,m2,4362.470697594036
2025-07-14,Anchorage,Railway,m2,3136.2500040331565
2025-03-06,Subbase application,Road,m2,2616.187376338744
